7362,0,15652,67372,114712,0,,
2592,0,60532,7002,340702,0,,
522,0,12142,146152,248742,0,,
2302,0,22602,39932,20622,0,,
24172,0,26842,57392,19492,0,,
8922,0,28502,85942,39282,0,,
3012,0,568162,17662,97062,0,,
8012,0,12162,4672,177202,0,,
3722,0,142302,23322,19532,0,,
292,0,2582,211982,122142,0,,
1562,0,6392,6932,126492,0,,
3762,0,4612,21312,329562,0,,
6072,0,14762,7772,288242,0,,
1212,0,93082,82882,18152,0,,
352,0,30322,13242,38282,0,,
1152,0,820642,21432,57812,0,,
1072,0,15002,188152,67142,0,,
6642,0,79582,26742,284982,0,,
25472,0,19462,38022,87942,0,,
4252,0,51952,19372,197112,0,,
1062,0,33702,16982,26142,0,,
1472,0,40852,414922,96102,0,,
1722,0,10412,15252,47322,0,,
2312,0,8882,176952,139942,0,,
17432,0,19312,10532,327432,0,,
1312,0,7172,42082,188102,0,,
682,0,5742,21172,55022,0,,
2022,0,24112,5112,57642,0,,
35352,0,9752,16372,303962,0,,
0,0,39542,60752,402832,0,,
0,0,5782,4112,15497592,0,,
0,0,38662,84082,186752,0,,
0,0,12162,376902,480892,0,,
0,0,43862,5472,32482,0,,
0,0,2212,23472,11332,0,,
0,0,316372,4862,75362,0,,
0,0,7312,20302,95962,0,,
0,0,31292,5712,268552,0,,
0,0,216052,473232,232022,0,,
0,0,12292,15742,28282,0,,
0,0,17892,122292,101112,0,,
0,0,116542,12882,376282,0,,
0,0,8172,328212,53422,0,,
0,0,536962,11772,121222,0,,
0,0,15732,5522,85052,0,,
0,0,11022,204602,91952,0,,
0,0,215262,129792,520012,0,,
0,0,70172,39352,60122,0,,
0,0,15222,125352,72142,0,,
0,0,7872,43662,75462,0,,
0,0,10222,51852,25042,0,,
0,0,6142,4162,13212,0,,
0,0,7692,53222,45052,0,,
0,0,287432,19162,224862,0,,
0,0,3742,72162,492062,0,,
0,0,295972,7332,22422,0,,
0,0,3002,79932,178252,0,,
0,0,15872,86322,45532,0,,
0,0,3522,7622,38862,0,,
0,0,3662,353662,65722,0,,
0,0,16592,7502,33062,0,,
0,0,37302,9682,4852,0,,
0,0,3102,50752,9622,0,,
0,0,46992,38592,365292,0,,
0,0,5912,22622,142702,0,,
0,0,18672,52552,49242,0,,
0,0,6942,167262,115722,0,,
0,0,23652,50052,93532,0,,
0,0,16952,334252,12712,0,,
0,0,229262,24102,32432,0,,
0,0,10262,53852,78632,0,,
0,0,110972,133692,8772,0,,
0,0,42282,675892,48022,0,,
0,0,24412,6162,0,0,,
0,0,55632,23402,0,0,,
0,0,54852,19932,0,0,,
0,0,233982,5172,0,0,,
0,0,14302,56382,0,0,,
0,0,6762,35052,0,0,,
0,0,13392,0,0,0,,
0,0,376222,0,0,0,,
0,0,156542,0,0,0,,
0,0,17922,0,0,0,,
0,0,311022,0,0,0,,
0,0,486672,0,0,0,,
0,0,5622,0,0,0,,
0,0,18972,0,0,0,,
0,0,128642,0,0,0,,
0,0,14642,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
0,0,0,0,0,0,,
